epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.07628361880779266,9.999999747378752e-05,3.642300844192505,0.06392694264650345,3.3057072162628174
1,0.11687041819095612,9.999999747378752e-05,3.3701038360595703,0.06392694264650345,3.3134355545043945
2,0.13398532569408417,9.999999747378752e-05,3.2414491176605225,0.06392694264650345,3.4279112815856934
3,0.1369193196296692,9.999999747378752e-05,3.203054189682007,0.06392694264650345,3.6066248416900635
4,0.13985329866409302,9.999999747378752e-05,3.1696128845214844,0.06392694264650345,3.7991220951080322
5,0.15256723761558533,9.999999747378752e-05,3.1202943325042725,0.07305935770273209,3.8916923999786377
6,0.1726161390542984,9.999999747378752e-05,3.045862913131714,0.07990867644548416,3.99341082572937
7,0.1711491495370865,9.999999747378752e-05,3.021397829055786,0.09817351400852203,4.018869876861572
8,0.17408312857151031,9.999999747378752e-05,2.97050404548645,0.08219178020954132,3.9795355796813965
9,0.18728606402873993,9.999999747378752e-05,2.9801406860351562,0.08675798773765564,3.7283873558044434
10,0.19315403699874878,9.999999747378752e-05,2.8990671634674072,0.08675798773765564,3.810394048690796
11,0.18973104655742645,9.999999747378752e-05,2.920790433883667,0.09360730648040771,3.818227767944336
12,0.19853301346302032,9.999999747378752e-05,2.8845083713531494,0.0890410989522934,3.9479310512542725
13,0.19902200996875763,4.999999873689376e-05,2.824868679046631,0.09132420271635056,4.076817989349365
14,0.20097799599170685,4.999999873689376e-05,2.7976701259613037,0.0890410989522934,4.146321773529053
